NUMLINK,ResourceID,External_Identifier_Type,NMRW_External_Xref,External_Source
6027310,5036,LB2,9935,Cadw
6027174,5039,LB2,9938,Cadw
6029226,5063,LB2,10178,Cadw
6030913,5068,LB2,10688,Cadw
6024237,5074,LB2,10537,Cadw
6027057,5081,LB2,9774,Cadw
6024204,5082,LB2*,10539,Cadw
6029223,5085,LB2,10182,Cadw
6029222,5086,LB2,10183,Cadw
6029221,5087,LB2,10184,Cadw
6029220,5088,LB2,10185,Cadw
6029219,5089,LB2,10186,Cadw
6029218,5091,LB2,10411,Cadw
6029217,5098,LB2,10281,Cadw
6027257,5105,LB2,9987,Cadw
6030736,5113,LB2,82648,Cadw
6025751,5119,LB2,10768,Cadw
6032727,5127,SAM,CD206,Cadw
6024897,5130,LB2,9882,Cadw
6028941,5158,LB2,10189,Cadw
6028940,5159,LB2,10190,Cadw
6028938,5161,LB2,10202,Cadw
6029213,5163,LB2,10204,Cadw
6029212,5164,LB2,10191,Cadw
6029209,5167,LB2,10193,Cadw
6029208,5168,LB2,10206,Cadw
6029207,5169,LB2,10194,Cadw
6029200,5170,LB2,10195,Cadw
6029199,5171,LB2,10196,Cadw
6029198,5172,LB2,10197,Cadw
6029197,5173,LB2,10199,Cadw
6024223,5209,LB2*,10547,Cadw
6027242,5222,LB2,10000,Cadw
6027239,5225,LB2,10003,Cadw
6033032,5236,PRN,7205,Dyfed Historic Environment Record
6033035,5237,PRN,7206,Dyfed Historic Environment Record
6026951,5244,LB2,10589,Cadw
6024222,5249,LB2*,10459,Cadw
6026909,5267,LB2,10592,Cadw
6009080,5276,LB2,3269,Cadw
6029191,5296,LB2,10407,Cadw
6027064,5303,LB2,9778,Cadw
6029187,5315,LB2,10210,Cadw
6029186,5316,LB2,10211,Cadw
6028604,5341,LB2,18288,Cadw
6028604,5341,LB2*,18288,Cadw
6030961,5353,LB2,9839,Cadw
6032883,5359,LB2,84249,Cadw
6031195,5373,LB2,82820,Cadw
6029168,5385,LB2,10216,Cadw
6029167,5386,LB2,10217,Cadw
6029166,5387,LB2,10218,Cadw
6029165,5388,LB2,10219,Cadw
6029164,5389,LB2,10220,Cadw
6029051,5390,LB2,10221,Cadw
6029183,5392,LB2,10226,Cadw
6029181,5394,LB2,10227,Cadw
6029180,5395,LB2,10214,Cadw
6029179,5396,LB2,10228,Cadw
6029177,5398,LB2,10230,Cadw
6029176,5400,LB2,10391,Cadw
6028129,5410,LB2,10746,Cadw
6026965,5419,LB2,10626,Cadw
6029050,5439,LB2,10222,Cadw
6029049,5440,LB2,10223,Cadw
6029048,5441,LB2,10224,Cadw
6029047,5442,LB2,10225,Cadw
6028341,5443,LB2*,10689,Cadw
6031079,5456,LB2,9874,Cadw
6027229,5465,LB2,10111,Cadw
6029046,5474,LB2,10404,Cadw
6024232,5475,LB2,10465,Cadw
6030987,5487,LB2,9876,Cadw
6029045,5495,LB2,10232,Cadw
6029022,5520,LB2,10234,Cadw
6029021,5521,LB2,10235,Cadw
6029017,5526,LB2,10244,Cadw
6029016,5527,LB2,10238,Cadw
6029015,5530,LB2,10241,Cadw
6029014,5531,LB2,10248,Cadw
6029013,5532,LB2,10249,Cadw
6029012,5533,LB2,10250,Cadw
6027221,5542,LB2,10016,Cadw
6027220,5543,LB2,10017,Cadw
6027219,5544,LB2,10018,Cadw
6024230,5549,LB2,10463,Cadw
6032869,5595,PRN,7198,Dyfed Historic Environment Record
