NUMLINK,ResourceID,NMRW_Heritage_Resource_Type,Preference_Type,Possible_Type
710257,710257,GAS WORKS,No Preference,Not Applicable
710258,710258,GAS WORKS,No Preference,Not Applicable
710259,710259,GAS WORKS,No Preference,Not Applicable
710260,710260,GAS WORKS,No Preference,Not Applicable
710261,710261,GAS WORKS,No Preference,Not Applicable
710262,710262,GAS WORKS,No Preference,Not Applicable
710263,710263,GAS WORKS,No Preference,Not Applicable
710264,710264,GAS WORKS,No Preference,Not Applicable
710265,710265,GAS WORKS,No Preference,Not Applicable
710266,710266,GAS HOLDER,No Preference,Not Applicable
710267,710267,GAS WORKS,No Preference,Not Applicable
710268,710268,GAS WORKS,No Preference,Not Applicable
710269,710269,GAS WORKS,No Preference,Not Applicable
710270,710270,GAS WORKS,No Preference,Not Applicable
710271,710271,GAS HOLDER,No Preference,Not Applicable
710272,710272,GAS HOLDER,No Preference,Not Applicable
710273,710273,GAS WORKS,No Preference,Not Applicable
710274,710274,GAS WORKS,No Preference,Not Applicable
710275,710275,GAS HOLDER,No Preference,Not Applicable
710276,710276,GAS WORKS,No Preference,Not Applicable
710277,710277,GAS WORKS,No Preference,Not Applicable
710278,710278,GAS HOLDER,No Preference,Not Applicable
710279,710279,GAS HOLDER,No Preference,Not Applicable
710280,710280,GAS HOLDER,No Preference,Not Applicable
710281,710281,GAS HOLDER,No Preference,Not Applicable
710282,710282,GAS HOLDER,No Preference,Not Applicable
710283,710283,GAS WORKS,No Preference,Not Applicable
710284,710284,GAS WORKS,No Preference,Not Applicable
710285,710285,GAS HOLDER,No Preference,Not Applicable
710286,710286,GAS HOLDER,No Preference,Not Applicable
710287,710287,GAS WORKS,No Preference,Not Applicable
710288,710288,GAS WORKS,No Preference,Not Applicable
710289,710289,GAS HOLDER,No Preference,Not Applicable
710290,710290,GAS HOLDER,No Preference,Not Applicable
710291,710291,GAS HOLDER,No Preference,Not Applicable
710292,710292,GAS WORKS,No Preference,Not Applicable
710293,710293,GAS HOLDER,No Preference,Not Applicable
710294,710294,GAS HOLDER,No Preference,Not Applicable
710295,710295,GAS HOLDER,No Preference,Not Applicable
710296,710296,GAS HOLDER,No Preference,Not Applicable
710297,710297,GAS HOLDER,No Preference,Not Applicable
710298,710298,GAS HOLDER,No Preference,Not Applicable
710299,710299,GAS HOLDER,No Preference,Not Applicable
710300,710300,GAS HOLDER,No Preference,Not Applicable
710301,710301,GAS HOLDER,No Preference,Not Applicable
710302,710302,GAS HOLDER,No Preference,Not Applicable
710303,710303,GAS WORKS,No Preference,Not Applicable
710304,710304,GAS HOLDER,No Preference,Not Applicable
710305,710305,GAS HOLDER,No Preference,Not Applicable
710306,710306,GAS HOLDER,No Preference,Not Applicable
710307,710307,GAS HOLDER,No Preference,Not Applicable
710308,710308,GAS WORKS,No Preference,Not Applicable
710309,710309,GAS HOLDER,No Preference,Not Applicable
710310,710310,GAS HOLDER,No Preference,Not Applicable
710311,710311,GAS HOLDER,No Preference,Not Applicable
710312,710312,GAS WORKS,No Preference,Not Applicable
710313,710313,GAS HOLDER,No Preference,Not Applicable
710314,710314,GAS HOLDER,No Preference,Not Applicable
710315,710315,GAS HOLDER,No Preference,Not Applicable
710316,710316,GAS HOLDER,No Preference,Not Applicable
710317,710317,GAS HOLDER,No Preference,Not Applicable
710318,710318,GAS HOLDER,No Preference,Not Applicable
710319,710319,GAS HOLDER,No Preference,Not Applicable
710320,710320,GAS HOLDER,No Preference,Not Applicable
710321,710321,GAS HOLDER,No Preference,Not Applicable
710322,710322,GAS HOLDER,No Preference,Not Applicable
710323,710323,GAS WORKS,No Preference,Not Applicable
710324,710324,GAS HOLDER,No Preference,Not Applicable
710326,710326,GAS WORKS,No Preference,Not Applicable
710327,710327,GAS WORKS,No Preference,Not Applicable
710329,710329,GAS WORKS,No Preference,Not Applicable
710330,710330,GAS WORKS,No Preference,Not Applicable
710335,710335,GAS HOLDER,No Preference,Not Applicable
710336,710336,COKE OVEN,No Preference,Not Applicable
