NUMLINK,ResourceID,External_Identifier_Type,NMRW_External_Xref,External_Source
,271668,UKHO ID,10018,UK Hydrographic Office
,518379,UKHO ID,10017,UK Hydrographic Office
,518378,UKHO ID,10016,UK Hydrographic Office
,516119,UKHO ID,10015,UK Hydrographic Office
,516122,UKHO ID,10014,UK Hydrographic Office
,516126,UKHO ID,10013,UK Hydrographic Office
,518395,UKHO ID,10012,UK Hydrographic Office
,518394,UKHO ID,10011,UK Hydrographic Office
,518380,UKHO ID,10010,UK Hydrographic Office
,271671,UKHO ID,10009,UK Hydrographic Office
,516143,UKHO ID,10008,UK Hydrographic Office
,516144,UKHO ID,10007,UK Hydrographic Office
,516157,UKHO ID,10005,UK Hydrographic Office
,516140,UKHO ID,10004,UK Hydrographic Office
,518381,UKHO ID,9994,UK Hydrographic Office
,518382,UKHO ID,9990,UK Hydrographic Office
,274776,UKHO ID,9989,UK Hydrographic Office
,518388,UKHO ID,9988,UK Hydrographic Office
,274777,UKHO ID,9987,UK Hydrographic Office
,271667,UKHO ID,9985,UK Hydrographic Office
,271669,UKHO ID,9984,UK Hydrographic Office
,271672,UKHO ID,9983,UK Hydrographic Office
,518392,UKHO ID,9981,UK Hydrographic Office
,271772,UKHO ID,9978,UK Hydrographic Office
,271670,UKHO ID,9977,UK Hydrographic Office
,516077,UKHO ID,9976,UK Hydrographic Office
,516130,UKHO ID,9975,UK Hydrographic Office
,516121,UKHO ID,9972,UK Hydrographic Office
,516131,UKHO ID,9970,UK Hydrographic Office
,271535,UKHO ID,9966,UK Hydrographic Office
,516123,UKHO ID,9964,UK Hydrographic Office
,516124,UKHO ID,9962,UK Hydrographic Office
,516127,UKHO ID,9959,UK Hydrographic Office
,274829,UKHO ID,9957,UK Hydrographic Office
,516141,UKHO ID,9955,UK Hydrographic Office
,516139,UKHO ID,9954,UK Hydrographic Office
,516137,UKHO ID,9953,UK Hydrographic Office
,516135,UKHO ID,9951,UK Hydrographic Office
,516132,UKHO ID,9950,UK Hydrographic Office
,274908,UKHO ID,9948,UK Hydrographic Office
,516142,UKHO ID,9935,UK Hydrographic Office
,516154,UKHO ID,9934,UK Hydrographic Office
,273255,UKHO ID,9933,UK Hydrographic Office
,507162,UKHO ID,9932,UK Hydrographic Office
,516155,UKHO ID,9929,UK Hydrographic Office
,516159,UKHO ID,9925,UK Hydrographic Office
,516156,UKHO ID,9922,UK Hydrographic Office
,518396,UKHO ID,9920,UK Hydrographic Office
,518315,UKHO ID,9915,UK Hydrographic Office
,273318,UKHO ID,9914,UK Hydrographic Office
,518443,UKHO ID,9913,UK Hydrographic Office
,518316,UKHO ID,9911,UK Hydrographic Office
,516158,UKHO ID,9909,UK Hydrographic Office
,240297,UKHO ID,9903,UK Hydrographic Office
,273192,UKHO ID,9902,UK Hydrographic Office
,274804,UKHO ID,9896,UK Hydrographic Office
,240318,UKHO ID,9892,UK Hydrographic Office
,274450,UKHO ID,9891,UK Hydrographic Office
,273215,UKHO ID,9887,UK Hydrographic Office
,274910,UKHO ID,9883,UK Hydrographic Office
,518412,UKHO ID,9880,UK Hydrographic Office
,518420,UKHO ID,9876,UK Hydrographic Office
,273242,UKHO ID,9873,UK Hydrographic Office
,273550,UKHO ID,9866,UK Hydrographic Office
,273551,UKHO ID,9864,UK Hydrographic Office
,273191,UKHO ID,9855,UK Hydrographic Office
,518422,UKHO ID,9853,UK Hydrographic Office
,518424,UKHO ID,9852,UK Hydrographic Office
,507240,UKHO ID,9851,UK Hydrographic Office
,240296,UKHO ID,9850,UK Hydrographic Office
,518451,UKHO ID,8324,UK Hydrographic Office
,506930,UKHO ID,8323,UK Hydrographic Office
,506929,UKHO ID,8321,UK Hydrographic Office
,515795,UKHO ID,8264,UK Hydrographic Office
,506925,UKHO ID,8263,UK Hydrographic Office
,506854,UKHO ID,8245,UK Hydrographic Office
,506950,UKHO ID,8243,UK Hydrographic Office
,442,UKHO ID,8241,UK Hydrographic Office
,506951,UKHO ID,8240,UK Hydrographic Office
,271692,UKHO ID,8237,UK Hydrographic Office
,506868,UKHO ID,8236,UK Hydrographic Office
,506926,UKHO ID,8231,UK Hydrographic Office
,506927,UKHO ID,8230,UK Hydrographic Office
,506902,UKHO ID,8229,UK Hydrographic Office
,506908,UKHO ID,8228,UK Hydrographic Office
,506887,UKHO ID,8227,UK Hydrographic Office
,506704,UKHO ID,8225,UK Hydrographic Office
,506878,UKHO ID,8224,UK Hydrographic Office
,506903,UKHO ID,8223,UK Hydrographic Office
,506904,UKHO ID,8222,UK Hydrographic Office
,506898,UKHO ID,8221,UK Hydrographic Office
,506881,UKHO ID,8220,UK Hydrographic Office
,506894,UKHO ID,8219,UK Hydrographic Office
,506893,UKHO ID,8218,UK Hydrographic Office
,506892,UKHO ID,8217,UK Hydrographic Office
,506891,UKHO ID,8216,UK Hydrographic Office
,506882,UKHO ID,8215,UK Hydrographic Office
,506885,UKHO ID,8213,UK Hydrographic Office
,506895,UKHO ID,8212,UK Hydrographic Office
,506900,UKHO ID,8211,UK Hydrographic Office
,506896,UKHO ID,8210,UK Hydrographic Office
,506890,UKHO ID,8209,UK Hydrographic Office
,271444,UKHO ID,8208,UK Hydrographic Office
,506957,UKHO ID,8207,UK Hydrographic Office
,271457,UKHO ID,8206,UK Hydrographic Office
,506871,UKHO ID,8204,UK Hydrographic Office
,506897,UKHO ID,8202,UK Hydrographic Office
,506883,UKHO ID,8200,UK Hydrographic Office
,506914,UKHO ID,8199,UK Hydrographic Office
,506888,UKHO ID,8183,UK Hydrographic Office
,506889,UKHO ID,8182,UK Hydrographic Office
,506899,UKHO ID,8181,UK Hydrographic Office
,506923,UKHO ID,8180,UK Hydrographic Office
,506924,UKHO ID,8179,UK Hydrographic Office
