NUMLINK,ResourceID,NMRW_RCAHMW_Class,Possible_RCCLASS
6062656,450,8C,Not Applicable
6056182,451,12F,Not Applicable
6014160,452,10C,Not Applicable
6011477,453,10C,Not Applicable
6062855,454,10C,Not Applicable
6019144,455,10C,Not Applicable
6027495,456,10C,Not Applicable
6008026,458,10C,Not Applicable
6026125,461,11F,Not Applicable
6023715,462,11F,Not Applicable
6043475,465,10F,Not Applicable
6052950,466,12F,Not Applicable
6032092,467,11E,Not Applicable
6032067,468,12C,Not Applicable
6007426,469,10C,Not Applicable
6007417,470,10C,Not Applicable
6007425,471,10F,Not Applicable
6009380,472,10C,Not Applicable
6026451,473,11F,Not Applicable
6028036,474,11F,Not Applicable
6027799,475,11F,Not Applicable
6029714,476,11F,Not Applicable
6031858,477,11F,Not Applicable
6052892,478,11F,Not Applicable
6024486,479,11F,Not Applicable
6023729,480,11F,Not Applicable
6025010,481,11F,Not Applicable
6026420,482,11F,Not Applicable
6023989,483,11F,Not Applicable
6027698,484,10F,Not Applicable
6026604,485,11F,Not Applicable
6027933,486,18E,Not Applicable
6027934,487,18F,Not Applicable
6027940,488,10C,Not Applicable
6027935,489,11E,Not Applicable
6025183,491,10C,Not Applicable
6023730,492,11D,Not Applicable
6032137,493,10F,Not Applicable
6026630,494,10C,Not Applicable
6026605,495,10C,Not Applicable
6026629,496,11B,Not Applicable
6027729,497,10F,Not Applicable
6027699,498,11E,Not Applicable
6032138,499,11E,Not Applicable
6028407,500,17B,Not Applicable
6030507,501,10C,Not Applicable
6027119,502,10C,Not Applicable
6027158,503,10C,Not Applicable
6027161,504,10C,Not Applicable
6024238,505,10F,Not Applicable
6028588,507,10C,Not Applicable
6028952,509,13F,Not Applicable
6025697,510,10C,Not Applicable
6028606,512,10C,Not Applicable
6028554,513,10C,Not Applicable
6028649,514,2B,Not Applicable
6028951,515,10C,Not Applicable
6028950,516,10F,Not Applicable
6030263,517,10C,Not Applicable
6028334,518,10C,Not Applicable
6034848,519,2A,Not Applicable
6028502,520,8C,Not Applicable
6010582,521,10D,Not Applicable
6004927,522,10C,Not Applicable
6001888,523,10C,Not Applicable
6002065,524,10C,Not Applicable
6005283,525,10D,Not Applicable
6002064,526,10C,Not Applicable
6007523,527,8B,Not Applicable
6003577,528,16E,Not Applicable
6063126,530,10C,Not Applicable
6061118,532,10C,Not Applicable
6061119,533,10C,Not Applicable
6051211,534,10C,Not Applicable
6046883,535,10C,Not Applicable
6062272,536,10D,Not Applicable
6061195,537,10C,Not Applicable
6047162,538,10C,Not Applicable
6047158,539,10C,Not Applicable
6047161,540,10C,Not Applicable
6041319,541,10C,Not Applicable
6050212,542,10C,Not Applicable
6062503,543,10C,Not Applicable
6062503,543,9C,Not Applicable
6047827,544,8C,Not Applicable
6049509,545,10C,Not Applicable
6035164,546,2B,Not Applicable
6035175,547,3D,Not Applicable
6035809,549,8C,Not Applicable
6062088,550,10C,Not Applicable
6034847,551,7F,Not Applicable
6046032,552,10C,Not Applicable
6014713,553,10C,Not Applicable
6015006,554,10C,Not Applicable
6046463,555,10C,Not Applicable
6047159,556,10C,Not Applicable
6061469,557,10C,Not Applicable
6061209,558,17B,Possible Type
6047160,559,10C,Not Applicable
6059412,560,10F,Not Applicable
6030660,561,10C,Not Applicable
6052677,562,10C,Not Applicable
6052677,562,10D,Not Applicable
6018198,563,8C,Not Applicable
6010794,564,10C,Not Applicable
6019587,565,10C,Not Applicable
6011602,566,10F,Not Applicable
6010490,567,8C,Not Applicable
6006621,568,16B,Not Applicable
6002550,569,18D,Not Applicable
6006920,570,16B,Not Applicable
6008655,571,10C,Not Applicable
6000622,572,10A,Not Applicable
6000623,573,10A,Not Applicable
6004610,574,10C,Not Applicable
6008752,575,18E,Not Applicable
6021162,576,18B,Not Applicable
6021619,577,10F,Not Applicable
6054101,578,10F,Not Applicable
6054101,578,10C,Not Applicable
6023413,579,18B,Not Applicable
6053671,580,18B,Not Applicable
6053174,581,11F,Not Applicable
6021516,582,8B,Not Applicable
6052678,583,10C,Not Applicable
6022695,584,10C,Not Applicable
6052074,585,10C,Not Applicable
6031072,586,10C,Not Applicable
6030816,587,10C,Not Applicable
6031180,588,10C,Not Applicable
6030636,589,10C,Not Applicable
6030579,590,10C,Not Applicable
6051567,592,10F,Not Applicable
6047018,593,10F,Not Applicable
6061555,594,10F,Not Applicable
6062039,595,16B,Not Applicable
6044026,597,10F,Not Applicable
6050216,598,10D,Not Applicable
6061396,599,10F,Not Applicable
6061208,600,10C,Not Applicable
6061196,601,10C,Not Applicable
6062037,602,10F,Not Applicable
6062034,603,10F,Not Applicable
6062034,603,8C,Not Applicable
6047219,604,12A,Not Applicable
6049974,605,12A,Not Applicable
6062274,606,10F,Not Applicable
6062273,607,10C,Not Applicable
6061796,608,10C,Not Applicable
6062864,609,10F,Not Applicable
6050875,610,10C,Not Applicable
6062033,611,18E,Not Applicable
6061206,612,17F,Not Applicable
6062032,613,11E,Not Applicable
6049844,614,17F,Not Applicable
6051566,615,10F,Not Applicable
6022193,616,2C,Not Applicable
6043747,617,10C,Not Applicable
6043767,618,10C,Not Applicable
6043767,618,10D,Not Applicable
6060479,619,10C,Not Applicable
6047020,620,10C,Not Applicable
6061471,621,10C,Not Applicable
6060482,622,10C,Not Applicable
6060481,623,10C,Not Applicable
6061470,624,10C,Not Applicable
6061472,625,10C,Not Applicable
6060480,626,10C,Not Applicable
6060759,627,10C,Not Applicable
6060760,628,10C,Not Applicable
6060761,629,10C,Not Applicable
6019146,630,10C,Not Applicable
6019264,631,8C,Not Applicable
6010344,632,11B,Not Applicable
6010344,632,14B,Not Applicable
6018395,633,17D,Not Applicable
6017868,634,10G,Not Applicable
6017339,635,10C,Not Applicable
6033910,636,10C,Not Applicable
6009341,637,10C,Not Applicable
6024047,638,10C,Not Applicable
6010052,639,10C,Not Applicable
6033290,640,10F,Not Applicable
6028949,641,10F,Not Applicable
6018478,642,10D,Not Applicable
6017870,643,10D,Not Applicable
6009387,644,10C,Not Applicable
6024810,645,10C,Not Applicable
6003783,646,10D,Not Applicable
6044260,647,10C,Not Applicable
6021517,648,10C,Not Applicable
6032594,649,10C,Not Applicable
6025188,650,10C,Not Applicable
6046486,651,10C,Not Applicable
6046487,652,10C,Not Applicable
6060124,653,10C,Not Applicable
6028130,654,10C,Not Applicable
6022838,655,12D,Not Applicable
6024487,656,12D,Not Applicable
6036021,657,10C,Not Applicable
6060316,658,8C,Not Applicable
6028948,659,10C,Not Applicable
6028947,660,10C,Not Applicable
6030334,661,10C,Not Applicable
6017828,662,1D,Not Applicable
6031783,663,11F,Not Applicable
6030215,664,10C,Not Applicable
6025734,665,8C,Not Applicable
6025735,666,10C,Not Applicable
6025737,667,10D,Not Applicable
6027056,668,10C,Not Applicable
6027076,669,10C,Not Applicable
6027079,670,10C,Not Applicable
6025736,671,10C,Not Applicable
6025761,672,10C,Not Applicable
6025760,673,10D,Not Applicable
6027444,674,10C,Not Applicable
6027448,675,10D,Not Applicable
6027077,676,10C,Not Applicable
6027078,677,10D,Not Applicable
6027032,678,10D,Not Applicable
6025738,679,10C,Not Applicable
6025741,680,10C,Not Applicable
6025739,681,10C,Not Applicable
6025740,682,10C,Not Applicable
6023993,683,10C,Not Applicable
6023995,684,12D,Not Applicable
6010787,685,10F,Not Applicable
6052009,686,12A,Not Applicable
6031453,687,12F,Not Applicable
6029386,688,10C,Not Applicable
6053361,689,10C,Not Applicable
6011597,690,10F,Not Applicable
6001439,691,11F,Not Applicable
6005453,692,11F,Not Applicable
6032834,693,15B,Not Applicable
6011601,694,12A,Not Applicable
6042708,695,10F,Not Applicable
6011598,696,1B,Not Applicable
6020186,697,12A,Not Applicable
6032836,698,12F,Not Applicable
6032836,698,13F,Not Applicable
6053670,699,12F,Not Applicable
6053670,699,14E,Not Applicable
6006840,700,11D,Not Applicable
6005511,701,18D,Not Applicable
6001237,702,11F,Not Applicable
6053624,703,8F,Not Applicable
6029388,704,14B,Not Applicable
6029389,705,15D,Not Applicable
6053669,706,18B,Not Applicable
6046180,707,8C,Not Applicable
6034706,708,2B,Not Applicable
6032553,709,2B,Not Applicable
6028946,710,10C,Not Applicable
6049561,711,10D,Not Applicable
6049560,712,10D,Not Applicable
6049559,713,10D,Not Applicable
6063120,714,10C,Not Applicable
6006724,715,10C,Not Applicable
6063125,716,10C,Not Applicable
6023412,717,12D,Not Applicable
6025306,718,10C,Not Applicable
6049377,719,10C,Not Applicable
6022951,720,10C,Not Applicable
6058697,721,10C,Not Applicable
6011232,722,10C,Not Applicable
6001778,723,10C,Not Applicable
6020467,724,10C,Not Applicable
6035917,725,10C,Not Applicable
6039493,726,18D,Not Applicable
6039499,727,12F,Not Applicable
6040896,728,11D,Not Applicable
6040898,729,14B,Not Applicable
6024816,730,10C,Not Applicable
6059728,731,11F,Not Applicable
6040888,732,10C,Not Applicable
6040897,733,10C,Not Applicable
6040904,734,10C,Not Applicable
6039494,735,11F,Not Applicable
6050620,736,10C,Not Applicable
6051147,737,10C,Not Applicable
6050902,738,8C,Not Applicable
6050904,739,10C,Not Applicable
6005864,740,10C,Not Applicable
6055045,741,10F,Not Applicable
6002223,742,10C,Not Applicable
6032863,743,8C,Not Applicable
6042710,744,10C,Not Applicable
6054986,745,10F,Not Applicable
6042709,746,12A,Not Applicable
6042590,747,10C,Not Applicable
6042712,748,10C,Not Applicable
6042721,749,10E,Not Applicable
6042720,750,10C,Not Applicable
6042719,751,10C,Not Applicable
6037421,752,11B,Not Applicable
6037421,752,17F,Not Applicable
6036207,753,10C,Not Applicable
6036211,754,10C,Not Applicable
6042342,755,11F,Not Applicable
6042718,756,11D,Not Applicable
6042717,757,10F,Not Applicable
6034324,758,11B,Not Applicable
6034323,759,10G,Not Applicable
6034322,760,11F,Not Applicable
6042716,761,8C,Not Applicable
6042715,762,10F,Not Applicable
6042714,763,10C,Not Applicable
6042713,764,10F,Not Applicable
6024048,765,10C,Not Applicable
6055046,766,11F,Not Applicable
6055047,767,10C,Not Applicable
6055048,768,10C,Not Applicable
6055050,769,10C,Not Applicable
6055049,770,10C,Not Applicable
6027728,771,10C,Not Applicable
6019145,772,10F,Not Applicable
6026491,773,18D,Not Applicable
6025343,774,18D,Not Applicable
6025929,775,10C,Not Applicable
6027870,776,18E,Not Applicable
6025941,777,10C,Not Applicable
6025989,778,10C,Not Applicable
6005865,779,2B,Not Applicable
6005863,780,2B,Not Applicable
6008365,781,2C,Not Applicable
6024426,1001,18G,Not Applicable
6062439,1003,18G,Not Applicable
6025099,1004,18G,Not Applicable
6000883,1006,18G,Not Applicable
6005021,1008,18H,Not Applicable
6003784,1015,18G,Not Applicable
6006345,1018,18G,Not Applicable
6002225,1019,18H,Not Applicable
6001177,1026,18G,Not Applicable
6034705,3001,10C,Not Applicable
6037404,3002,10D,Not Applicable
6012461,3003,10C,Not Applicable
6028353,3004,10C,Not Applicable
6033291,3005,10C,Not Applicable
6058698,3006,10D,Not Applicable
6031969,3007,10C,Not Applicable
6027043,3008,10C,Not Applicable
6026606,3009,10C,Not Applicable
6012787,3010,10F,Not Applicable
6012789,3011,10C,Not Applicable
6012788,3012,10D,Not Applicable
6012829,3013,8F,Not Applicable
6012830,3014,10F,Not Applicable
6048342,3015,12F,Not Applicable
6060031,3016,10E,Not Applicable
6028266,3017,10C,Not Applicable
6008106,3018,10C,Not Applicable
6013860,3019,10C,Not Applicable
6014048,3020,10C,Not Applicable
6030968,3021,10C,Not Applicable
6030967,3022,10C,Not Applicable
6050215,3023,8C,Not Applicable
6027159,3024,10C,Not Applicable
6010284,3025,10C,Not Applicable
6012462,3026,10C,Not Applicable
6032835,3027,10C,Not Applicable
6024909,3028,8C,Not Applicable
6003867,3029,10C,Not Applicable
6024257,3030,10D,Not Applicable
6005455,3031,10C,Not Applicable
6012936,3032,10C,Not Applicable
6033464,3033,10C,Not Applicable
6033464,3033,10D,Not Applicable
6041791,3034,10C,Not Applicable
6034984,3035,10D,Not Applicable
6034985,3036,10D,Not Applicable
6005454,3037,10C,Not Applicable
6032147,3038,10C,Not Applicable
6028035,3039,12C,Not Applicable
6043679,3040,10C,Not Applicable
6024239,3041,10F,Not Applicable
6028202,3042,10C,Not Applicable
6013723,3043,10C,Not Applicable
6003882,3044,10C,Not Applicable
6009068,3045,10C,Not Applicable
6028945,3047,10C,Not Applicable
6008025,3048,10C,Not Applicable
6024326,3049,10C,Not Applicable
6024330,3051,10D,Not Applicable
6026626,3052,12F,Not Applicable
6009993,3053,10C,Not Applicable
6022637,3054,10D,Not Applicable
6018231,3055,10D,Not Applicable
6018607,3056,10G,Not Applicable
6018607,3056,8F,Not Applicable
6018610,3057,17D,Not Applicable
6030827,3058,10C,Not Applicable
6031181,3059,10C,Not Applicable
6054512,3060,10C,Not Applicable
6016528,3061,10D,Not Applicable
6029807,3062,10F,Not Applicable
6055531,3063,10C,Not Applicable
6059115,3064,10F,Not Applicable
6059411,3065,10F,Not Applicable
6061207,3066,10C,Not Applicable
6019112,3067,10C,Not Applicable
6059116,3068,10F,Not Applicable
6059410,3069,9F,Not Applicable
6056646,3070,10F,Not Applicable
6062148,3071,10F,Not Applicable
6059117,3072,10F,Not Applicable
6032788,3073,10C,Not Applicable
6045096,3074,10D,Not Applicable
6045096,3074,10C,Not Applicable
6035668,3075,10C,Not Applicable
6014911,3076,8C,Not Applicable
6058363,3077,18E,Not Applicable
6046112,3078,10C,Not Applicable
6028408,3079,10C,Not Applicable
6047681,3080,10C,Not Applicable
6047281,3081,17F,Not Applicable
6028944,3082,10F,Not Applicable
6015605,3083,10C,Not Applicable
6025860,3084,17B,Not Applicable
6048099,3085,10D,Not Applicable
6048099,3085,10C,Not Applicable
6016518,3086,12F,Not Applicable
6014335,3087,10C,Not Applicable
6019265,3088,19A,Not Applicable
6049779,3092,17E,Not Applicable
6049779,3092,17D,Not Applicable
6047280,3093,10C,Not Applicable
6062035,3094,10C,Not Applicable
6055263,3510,8F,Not Applicable
6050796,3680,10C,Not Applicable
6058828,4103,8C,Not Applicable
6032595,5001,10C,Not Applicable
6027160,5002,10C,Not Applicable
6028943,5003,10C,Not Applicable
6024908,5004,10C,Not Applicable
6028525,5005,10C,Not Applicable
6024203,5006,10C,Not Applicable
6024896,5007,10C,Not Applicable
6031202,5008,10C,Not Applicable
6028590,5009,10C,Not Applicable
6030726,5011,10C,Not Applicable
6030218,5012,10C,Not Applicable
6028279,5013,10C,Not Applicable
6028278,5014,10C,Not Applicable
6032093,5015,10C,Not Applicable
6027162,5016,10C,Not Applicable
6027326,5017,10C,Not Applicable
6027163,5018,10C,Not Applicable
6027325,5019,10C,Not Applicable
6027164,5020,10C,Not Applicable
6027324,5021,10C,Not Applicable
6027165,5022,10C,Not Applicable
6027323,5023,10D,Not Applicable
6027322,5024,10D,Not Applicable
6027321,5025,10C,Not Applicable
