NUMLINK,ResourceID,NMRW_Name,Name_Type
710321,710321,Aberkenfig Gas Works Gas Holder site I,No preference
710322,710322,Beaufort Gas Holder Station,No preference
710323,710323,Corwen Gas Works,No preference
710324,710324,Shotton Works,No preference
710326,710326,Brynhyfhyd House Gas Works,No preference
710327,710327,Crumlin Hall Gas Works,No preference
710329,710329,"Gas Works at British Hotel, High Street, Bangor",No preference
710330,710330,"Gas Works at Queens Hotel, Victoria Terrace, Aberystwth",No preference
710335,710335,Margam Steel Works Gas Holder,No preference
710336,710336,Bedwas Coke Ovens,No preference
