ResourceID,OSGB_Grid_Reference,Geometry,ResourceID
50f6edd4-da1a-4b52-958f-93345fdf1043,SO0230000600,POINT (-3.4149733 51.695616),50f6edd4-da1a-4b52-958f-93345fdf1043
aa051ec8-5097-464d-bcf7-a4c44cf225d8,SS9120084800,POINT (-3.5705993 51.551564),aa051ec8-5097-464d-bcf7-a4c44cf225d8
97bc4ebc-4685-430a-94cf-a834899e9b5c,SJ0195077900,POINT (-3.4723281 53.288964),97bc4ebc-4685-430a-94cf-a834899e9b5c
874b66c6-36b3-4ddd-a77c-4490a534004e,SO1585094380,POINT (-3.2421987 52.540749),874b66c6-36b3-4ddd-a77c-4490a534004e
68407382-584a-45c1-92bf-8897289c5e9d,SN8650005300,POINT (-3.6450139 51.734882),68407382-584a-45c1-92bf-8897289c5e9d
19c36be9-92e9-4eba-ad03-fde54bb2dcaa,SN8695005650,POINT (-3.638614 51.738118),19c36be9-92e9-4eba-ad03-fde54bb2dcaa
2a8a0f9c-a8e2-40e0-8659-bc8f84576028,SN5180057500,POINT (-4.1697123 52.19576),2a8a0f9c-a8e2-40e0-8659-bc8f84576028
46ed8d22-c434-4615-aab7-fc0e565b8e71,ST2970096700,POINT (-3.01783 51.664663),46ed8d22-c434-4615-aab7-fc0e565b8e71
d29e5644-c42b-4578-b7ad-19835d13bbdf,SS7450092350,POINT (-3.8140407 51.615944),d29e5644-c42b-4578-b7ad-19835d13bbdf
746aea1d-5fbd-4d28-a46c-e38e6d6983d4,SS7510090990,POINT (-3.8048944 51.603855),746aea1d-5fbd-4d28-a46c-e38e6d6983d4
742b9d7f-ceb2-4341-91f5-c650d7fc2c47,SH9315035750,POINT (-3.5902511 52.908521),742b9d7f-ceb2-4341-91f5-c650d7fc2c47
964db58c-082a-4131-8d29-edf04c19d4c9,SO1675011750,POINT (-3.2086303 51.798177),964db58c-082a-4131-8d29-edf04c19d4c9
c94f619c-017a-4bb8-8012-9e61e4849c4d,ST5390091750,POINT (-2.6673129 51.622671),c94f619c-017a-4bb8-8012-9e61e4849c4d
43191948-5baf-447b-a433-500914a10f19,SS6670096200,POINT (-3.9280994 51.648746),43191948-5baf-447b-a433-500914a10f19
9a3221d9-0af5-4c91-9c3c-47eecea86ff8,ST1655588650,POINT (-3.2059242 51.590498),9a3221d9-0af5-4c91-9c3c-47eecea86ff8
e804f516-d428-477a-9f3b-f53ed915d0cc,ST2699084330,POINT (-3.0544252 51.553113),e804f516-d428-477a-9f3b-f53ed915d0cc
9529a9f0-511c-40cc-9b38-ff59767f70f9,SS5450098800,POINT (-4.1053968 51.669081),9529a9f0-511c-40cc-9b38-ff59767f70f9
de51b802-a538-4e5e-aedd-443e865827ef,ST2215091350,POINT (-3.125778 51.615572),de51b802-a538-4e5e-aedd-443e865827ef
cfb3cf7a-440e-4a1d-ac99-33e0535c32aa,SJ3050047500,POINT (-3.0375273 53.020264),cfb3cf7a-440e-4a1d-ac99-33e0535c32aa
4a8727f0-58ae-4cd4-9001-0a554c25b610,ST3750085500,POINT (-2.9030687 51.564896),4a8727f0-58ae-4cd4-9001-0a554c25b610
1aa6596a-3398-466d-bf93-6e7cafb47f9b,SS9160081400,POINT (-3.5637845 51.521082),1aa6596a-3398-466d-bf93-6e7cafb47f9b
111abf46-4caa-4009-ac4b-3930fdf67298,SM8415023800,POINT (-5.1368589 51.870899),111abf46-4caa-4009-ac4b-3930fdf67298
26e28f1b-34a2-423b-bfbd-388668755f3b,SO0290028150,POINT (-3.4140283 51.943347),26e28f1b-34a2-423b-bfbd-388668755f3b
8b790f22-2e20-437b-9e7e-5cd4023e222a,SO1440008850,POINT (-3.2419834 51.771754),8b790f22-2e20-437b-9e7e-5cd4023e222a
81d8946e-fcec-4753-913a-8d6b7cf1b00a,SH4101090650,POINT (-4.3922007 53.388686),81d8946e-fcec-4753-913a-8d6b7cf1b00a
b7f141db-9a38-430f-b178-a6a40bb52247,ST2425079850,POINT (-3.0929717 51.512477),b7f141db-9a38-430f-b178-a6a40bb52247
3d215529-737d-421b-b88f-cbe721ca6822,SS7350093150,POINT (-3.8287653 51.622909),3d215529-737d-421b-b88f-cbe721ca6822
e486fff9-139c-468f-a588-e4a87a19249d,SO3155063950,POINT (-3.004516 52.269427),e486fff9-139c-468f-a588-e4a87a19249d
5927197f-c2bf-4fdc-8edc-13ee9b0bd2d3,SS9350078150,POINT (-3.5354276 51.492232),5927197f-c2bf-4fdc-8edc-13ee9b0bd2d3
d012edd0-234c-4232-a383-491e26524092,SJ2425062750,POINT (-3.1342797 53.15647),d012edd0-234c-4232-a383-491e26524092
f93823a6-a6af-4b3a-9853-6db644a1f82a,SM9670005200,POINT (-4.9439222 51.708604),f93823a6-a6af-4b3a-9853-6db644a1f82a
c8908b14-df66-479c-94b3-dd3c92d7e6c1,SH4635076100,POINT (-4.3049183 53.259589),c8908b14-df66-479c-94b3-dd3c92d7e6c1
2954cf30-3840-45d0-b2e8-3783e9e78676,SH6770074700,POINT (-3.9844926 53.252769),2954cf30-3840-45d0-b2e8-3783e9e78676
