ResourceID,External_Identifier_Type,NMRW_External_Xref,External_Source,ResourceID
162e5670-047d-4e50-94d2-80ad954965f4,UKHO ID,11965,UK Hydrographic Office,162e5670-047d-4e50-94d2-80ad954965f4
17093a59-81e8-4a32-b24f-4a51d68c2f39,UKHO ID,10028,UK Hydrographic Office,17093a59-81e8-4a32-b24f-4a51d68c2f39
17d22c33-4983-4f9b-ae2a-458da4c51b30,UKHO ID,7030,UK Hydrographic Office,17d22c33-4983-4f9b-ae2a-458da4c51b30
17e005b3-52ff-438e-8c55-56997493b281,UKHO ID,12152,UK Hydrographic Office,17e005b3-52ff-438e-8c55-56997493b281
18148481-852c-421a-91b0-05c951d3eced,UKHO ID,10061,UK Hydrographic Office,18148481-852c-421a-91b0-05c951d3eced
182c231a-ac65-449c-bc3f-d90e918b31a7,UKHO ID,12485,UK Hydrographic Office,182c231a-ac65-449c-bc3f-d90e918b31a7
1895ebef-fedb-4661-bd08-bfbf961e0cc3,UKHO ID,7265,UK Hydrographic Office,1895ebef-fedb-4661-bd08-bfbf961e0cc3
18bdf87f-4387-422b-980d-4471d0d76a32,UKHO ID,12584,UK Hydrographic Office,18bdf87f-4387-422b-980d-4471d0d76a32
18d2b897-3c35-4d20-875c-e3b49b724d80,UKHO ID,12132,UK Hydrographic Office,18d2b897-3c35-4d20-875c-e3b49b724d80
1901bfc1-a3df-41b3-affa-1116f06ade61,UKHO ID,58707,UK Hydrographic Office,1901bfc1-a3df-41b3-affa-1116f06ade61
1916be05-330b-4d4a-9707-d4b51f6dd0eb,UKHO ID,12459,UK Hydrographic Office,1916be05-330b-4d4a-9707-d4b51f6dd0eb
192fb88f-fdb5-4c37-9570-ac6a996f959d,UKHO ID,10079,UK Hydrographic Office,192fb88f-fdb5-4c37-9570-ac6a996f959d
1a022b16-c767-4f80-b683-afb00df6f83d,UKHO ID,9902,UK Hydrographic Office,1a022b16-c767-4f80-b683-afb00df6f83d
1a120771-9ea3-4456-8784-1a2a399d4309,UKHO ID,7293,UK Hydrographic Office,1a120771-9ea3-4456-8784-1a2a399d4309
1a2add04-2d11-4535-bc51-151aaa10b777,UKHO ID,12449,UK Hydrographic Office,1a2add04-2d11-4535-bc51-151aaa10b777
1ac44b58-2ce3-4703-aec2-58bb7d36297c,UKHO ID,12116,UK Hydrographic Office,1ac44b58-2ce3-4703-aec2-58bb7d36297c
1b1c93c5-b368-4602-b9ec-10ade5fdd419,UKHO ID,11654,UK Hydrographic Office,1b1c93c5-b368-4602-b9ec-10ade5fdd419
1b2be4bf-b427-4884-af98-efd902fd53bc,UKHO ID,12149,UK Hydrographic Office,1b2be4bf-b427-4884-af98-efd902fd53bc
1cf3c843-3af4-467e-88b0-848ffca75022,UKHO ID,9989,UK Hydrographic Office,1cf3c843-3af4-467e-88b0-848ffca75022
1e3eca7c-9984-4c16-b1c8-0dd3d080e1d9,UKHO ID,7175,UK Hydrographic Office,1e3eca7c-9984-4c16-b1c8-0dd3d080e1d9
1f08e954-ef8b-404f-86ba-1365cd838372,UKHO ID,12521,UK Hydrographic Office,1f08e954-ef8b-404f-86ba-1365cd838372
2052b27f-e665-4937-9fcf-4d6cbdb1a7f5,UKHO ID,12140,UK Hydrographic Office,2052b27f-e665-4937-9fcf-4d6cbdb1a7f5
2057a444-ac7d-4a4b-87f2-dfe58f512bf5,UKHO ID,8139,UK Hydrographic Office,2057a444-ac7d-4a4b-87f2-dfe58f512bf5
20a46a51-206d-4999-9068-473badc1d302,UKHO ID,9864,UK Hydrographic Office,20a46a51-206d-4999-9068-473badc1d302
